"tag","tag_short","pos","description"
"CC","CC","Coordinating conjuction","Coordinating conjunction "
"CD","CD","Cardinal","Cardinal number"
"DT","DT","Determiner","Determiner"
"EX","EX","Existential","Existential"
"FW","FW","Foreign","Foreign word"
"IN","IN","Preposition","Preposition"
"JJ","JJ","Adjective","Adjective"
"JJR","JJ","Adjective","""Adjective, comparative"""
"JJS","JJ","Adjective","""Adjective, superlative"""
"LS","LS","List item","List item"
"MD","MD","Modal","Modal"
"NN","NN","Noun","""Noun, singular"""
"NNS","NN","Noun","""Noun, plural"""
"NNP","NN","Noun","""Proper noun, singular"""
"NNPS","NN","Noun","""Proper noun, plural"""
"PDT","PDT","Predeterminer","Predeterminer"
"POS","POS","Possessive ending","Possessive ending"
"PRP","PRP","Pronoun","Personal pronoun"
"PRP$","PRP","Pronoun","Possessive pronoun"
"RB","RB","Adverb","Adverb"
"RBR","RB","Adverb","""Adverb, comparative"""
"RBS","RB","Adverb","""Adverb, superlative"""
"RP","RP","Particle","Particle"
"SYM","SYM","Symbol","Symbol"
"TO","TO","To","To "
"UH","UH","Interjection","Interjection"
"VB","VB","Verb","""Verb, base"""
"VBD","VB","Verb","""Verb, past tense"""
"VBG","VB","Verb","""Verb, gerund or present participle"""
"VBN","VB","Verb","""Verb, past participle"""
"VBP","VB","Verb","""Verb, non-3rd person singular present"""
"VBZ","VB","Verb","""Verb, 3rd person singular present"""
"WDT","WH","Wh-","Wh-determiner"
"WP","WH","Wh-","Wh-pronoun"
"WP$","WH","Wh-","Possessive wh-pronoun"
"WRB","WH","Wh-","Wh-adverb"

