compdesc_from,compdesc_to
AIR BAG,AIR BAG
AIR BAGS,AIR BAG
PARKING BRAKE,BRAKES
SERVICE BRAKES,BRAKES
ENGINE,ENGINE
ENGINE AND ENGINE COOLING,ENGINE
EQUIPMENT,EQUIPMENT
EQUIPMENT ADAPTIVE,EQUIPMENT
FUEL SYSTEM,FUEL
FUEL/PROPULSION SYSTEM,FUEL
EXTERIOR LIGHTING,LIGHTING
INTERIOR LIGHTING,LIGHTING
TRAILER HARDWARE,TRAILER
TRAILER HITCHES,TRAILER
TRAILER VISIBILITY,VISIBILITY
VISIBILITY/WIPER,VISIBILITY
LANE DEPARTURE,OTHER
BACK OVER PREVENTION,OTHER
FORWARD COLLISION AVOIDANCE,OTHER
HYBRID PROPULSION SYSTEM,ENGINE
UNKNOWN OR OTHER,OTHER
